"missing_percentage","imputation_method","avg_relative_bias_NDE","avg_relative_bias_NIE"
0.05,"fiml",0.000232167863413926,0.0136244921436086
0.05,"knn100",0.00625091525528241,-0.00384510389370561
0.05,"knn500",0.00352622971751552,0.0045557782786249
0.05,"mi",0.0124617597214714,0.00984651630040343
0.05,"rf_flexible",0.00134412259226115,0.0104390354229009
0.05,"rf_less_flexible",0.00322867732692103,0.005210776993586
0.1,"fiml",0.0194725332944055,-0.00451129558781867
0.1,"knn100",0.0293154413707313,-0.0319764477432696
0.1,"knn500",0.0226857309435932,-0.0139058618675735
0.1,"mi",0.0297649450762702,-0.00658614159146658
0.1,"rf_flexible",0.0194346278488531,-0.00475972511998038
0.1,"rf_less_flexible",0.0234997441311869,-0.0167433836370671
0.15,"fiml",-0.00510598106812628,0.0112575672053224
0.15,"knn100",0.00961207936970059,-0.0303339354037999
0.15,"knn500",0.000187408321982891,-0.00381050451376111
0.15,"mi",0.0101781850562362,0.00163305700303066
0.15,"rf_flexible",-0.00497227845570404,0.0110796867495674
0.15,"rf_less_flexible",0.00219247996228259,-0.00891803899413185
0.2,"fiml",-0.00138431209471718,0.00398442694961099
0.2,"knn100",0.0183624599054066,-0.0498726047596516
0.2,"knn500",0.0021087588065466,-0.00632054798786246
0.2,"mi",0.0163067545261488,-0.00363888615876222
0.2,"rf_flexible",0.00124454982581111,-0.0040808618060311
0.2,"rf_less_flexible",0.00867059209060563,-0.0266953400108293
0.25,"fiml",-0.00752257447622112,0.0191682240592607
0.25,"knn100",0.0130466781291851,-0.0362819009433205
0.25,"knn500",-0.00516747064506332,0.0139159710301606
0.25,"mi",0.00457881501494524,0.0352805814289421
0.25,"rf_flexible",-0.00696807132934526,0.0167617976943542
0.25,"rf_less_flexible",0.00161848637374713,-0.0106022530681977
0.3,"fiml",0.0104351882396027,0.00147154999906631
0.3,"knn100",0.0388265082489048,-0.0781264085531819
0.3,"knn500",0.0143815173736601,-0.0108101101514179
0.3,"mi",0.0220044558012458,-0.00438437409843253
0.3,"rf_flexible",0.0162923250742206,-0.0175024519998376
0.3,"rf_less_flexible",0.0258369156014781,-0.0498371254352639
