,,,,,,
1,0.05,fiml,-1.031663E-03,,,
2,0.05,knn100,-1.128583E-03,,,
3,0.05,knn500,-1.087661E-03,,,
4,0.05,mi,-1.042714E-03,,,
5,0.05,rf_flexible,-1.146737E-03,,,
6,0.05,rf_less_flexible,-1.229582E-03,,,
7,0.10,fiml,6.620028E-03,,,
8,0.10,knn100,6.434769E-03,,,
9,0.10,knn500,6.542640E-03,,,
10,0.10,mi,6.582597E-03,,,
11,0.10,rf_flexible,6.314688E-03,,,
12,0.10,rf_less_flexible,6.226039E-03,,,
13,0.15,fiml,-1.760014E-03,,,
14,0.15,knn100,-2.124328E-03,,,
15,0.15,knn500,-1.518226E-03,,,
16,0.15,mi,-1.769169E-03,,,
17,0.15,rf_flexible,-2.270067E-03,,,
18,0.15,rf_less_flexible,-2.372910E-03,,,
19,0.20,fiml,6.781874E-04,,,
20,0.20,knn100,2.553418E-04,,,
21,0.20,knn500,5.058670E-04,,,
22,0.20,mi,6.630448E-04,,,
23,0.20,rf_flexible,3.561494E-05,,,
24,0.20,rf_less_flexible,-2.784978E-04,,,
25,0.25,fiml,-2.828959E-03,,,
26,0.25,knn100,-3.394064E-03,,,
27,0.25,knn500,-2.556044E-03,,,
28,0.25,mi,-2.783488E-03,,,
29,0.25,rf_flexible,-3.567577E-03,,,
30,0.25,rf_less_flexible,-3.834823E-03,,,
31,0.30,fiml,2.977076E-03,,,
32,0.30,knn100,2.297525E-03,,,
33,0.30,knn500,2.859508E-03,,,
34,0.30,mi,2.832378E-03,,,
35,0.30,rf_flexible,1.816795E-03,,,
36,0.30,rf_less_flexible,1.691727E-03,,,
