sample_size,missing_type,missing_percentage,imputation_method,average_relative_bias_NDE,average_relative_bias_NIE,coverage_probability_NDE,coverage_probability_NIE,
50,MCAR,0.1,knn5,-0.0126497,0.254278312,0.93,0.91,
50,MCAR,0.1,mi,0.007961329,0.199495085,0.92,0.9,
50,MCAR,0.1,rf_flexible,-0.02186983,0.276059119,0.92,0.94,
50,MCAR,0.1,rf_less_flexible,-0.018230565,0.26084318,0.91,0.94,
50,MCAR,0.15,fiml,0.05348193,0.03082083,0.86,0.92,
50,MCAR,0.15,knn25,0.051647473,0.012342953,0.93,0.89,
50,MCAR,0.15,knn5,0.066745642,-0.023923515,0.91,0.89,
50,MCAR,0.15,mi,0.077745562,-0.053259672,0.88,0.87,
50,MCAR,0.15,rf_flexible,0.059396853,-0.011267941,0.92,0.91,
50,MCAR,0.15,rf_less_flexible,0.05754236,0.008631666,0.9,0.9,
50,MCAR,0.2,fiml,0.007080592,0.145697508,0.89,0.98,
50,MCAR,0.2,knn25,0.008582719,0.168908706,0.89,0.95,
50,MCAR,0.2,knn5,0.021332052,0.103721839,0.88,0.95,
50,MCAR,0.2,mi,0.028029636,0.180912902,0.9,0.89,
50,MCAR,0.2,rf_flexible,0.01202562,0.130028992,0.88,0.94,
50,MCAR,0.2,rf_less_flexible,0.014501467,0.139011331,0.88,0.94,
50,MCAR,0.25,fiml,0.030953004,0.427447141,0.87,0.97,
50,MCAR,0.25,knn25,0.032765949,0.379998554,0.91,0.93,
50,MCAR,0.25,knn5,0.053155194,0.327184734,0.89,0.91,
50,MCAR,0.25,mi,0.027034037,0.535538603,0.88,0.9,
50,MCAR,0.25,rf_flexible,0.038945174,0.348960204,0.91,0.93,
50,MCAR,0.25,rf_less_flexible,0.039555908,0.346734622,0.91,0.91,
50,MCAR,0.3,fiml,0.026451121,0.554458473,0.9,0.97,
50,MCAR,0.3,knn25,0.032885442,0.489435295,0.93,0.92,
50,MCAR,0.3,knn5,0.048968121,0.46052301,0.93,0.95,
50,MCAR,0.3,mi,0.024672935,0.367753574,0.89,0.86,
50,MCAR,0.3,rf_flexible,0.035310894,0.471608357,0.93,0.96,
50,MCAR,0.3,rf_less_flexible,0.036044881,0.454938753,0.94,0.95,
50,MNAR,0.05,fiml,-0.006331802,0.581496028,0.83,0.92,
50,MNAR,0.05,knn100,-0.008936016,0.67750957,0.91,0.9,
50,MNAR,0.05,knn500,-0.009699675,0.693141455,0.91,0.9,
50,MNAR,0.05,mi,0.014082634,0.790147431,0.85,0.89,
50,MNAR,0.05,rf_flexible,-0.002378206,0.585032193,0.91,0.87,
50,MNAR,0.05,rf_less_flexible,-0.008598903,0.650804551,0.9,0.89,
50,MNAR,0.1,fiml,-0.008319435,0.100098963,0.9,0.97,
50,MNAR,0.1,knn100,-0.006450767,0.07068422,0.95,0.9,
50,MNAR,0.1,knn500,-0.007371811,0.073586746,0.94,0.9,
50,MNAR,0.1,mi,0.000205117,0.059494929,0.93,0.81,
50,MNAR,0.1,rf_flexible,-0.003396238,0.085786534,0.91,0.87,
50,MNAR,0.1,rf_less_flexible,-0.002999918,0.077346907,0.92,0.88,
50,MNAR,0.15,fiml,0.009341368,0.212580771,0.91,0.94,
50,MNAR,0.15,knn100,0.010475127,0.227080901,0.92,0.89,
50,MNAR,0.15,knn500,0.011434083,0.228083214,0.95,0.88,
50,MNAR,0.15,mi,0.023575424,0.221659273,0.9,0.84,
50,MNAR,0.15,rf_flexible,0.00317214,0.242736021,0.93,0.89,
50,MNAR,0.15,rf_less_flexible,0.007675042,0.210096944,0.94,0.89,
50,MNAR,0.2,fiml,-0.016555646,-0.53527619,0.9,0.94,
50,MNAR,0.2,knn100,-0.014689412,-0.574505749,0.93,0.91,
50,MNAR,0.2,knn500,-0.013699991,-0.578896525,0.94,0.91,
50,MNAR,0.2,mi,-0.03403763,-0.545177644,0.91,0.83,
50,MNAR,0.2,rf_flexible,-0.00914202,-0.612141934,0.96,0.92,
50,MNAR,0.2,rf_less_flexible,-0.009986206,-0.57063326,0.95,0.93,
50,MNAR,0.25,fiml,-0.001042391,0.038279439,0.9,0.99,
50,MNAR,0.25,knn100,0.005863435,0.022809486,0.92,0.96,
50,MNAR,0.25,knn500,0.006094933,0.018680277,0.94,0.96,
50,MNAR,0.25,mi,0.020004903,0.043921572,0.93,0.88,
50,MNAR,0.25,rf_flexible,0.009718418,-0.006044265,0.93,0.95,
50,MNAR,0.25,rf_less_flexible,0.009191056,-0.00584321,0.95,0.94,
50,MNAR,0.3,fiml,0.038150894,1.991550482,0.91,0.91,
50,MNAR,0.3,knn100,0.013351,1.94685128,0.94,0.88,
50,MNAR,0.3,knn500,0.012559694,2.000893309,0.93,0.86,
50,MNAR,0.3,mi,0.041884751,2.043936729,0.89,0.82,
50,MNAR,0.3,rf_flexible,0.043307857,1.853854557,0.94,0.88,
50,MNAR,0.3,rf_less_flexible,0.042189024,1.779386543,0.94,0.86,
